 -7.02674922597725409e-17  9.30124952549246844e-20  2.23066645264528008e-23
 -3.08944516493637908e-26 -1.58705895957249223e-29  9.86205369971575123e-32
B0655+64   16-Jun-14  233000.00   56824.97916666660             8.771167  0.174 -8.344
   3540839911.221433    5.110620788131  aro  300   12   327.000 0.3674   0.9721
  2.28091088182690027e-09 -6.49304284553892663e-02  1.41432034860176361e-04
  1.79047104739879106e-07 -2.11352781588805870e-10 -1.61153878450067609e-13
  1.25598801727465068e-16  6.82459051727803083e-20 -4.03419617100877386e-23
  1.64014574705770741e-26  2.83596362070896511e-29 -4.47300113709988357e-31
B0655+64   17-Jun-14   43000.00   56825.18749999990             8.771167  0.171 -8.751
   3540931898.479863    5.110620788131  aro  300   12   327.000 0.5699   0.9721
 -9.77259932049071023e-10  4.10252217738176911e-02  1.62808083665709713e-04
 -1.38357406134474702e-07 -2.44363194428308685e-10  1.24048144564396750e-13
  1.47594183623771541e-16 -5.31160163543601831e-20 -4.91094547014212727e-23
  3.48879824336800933e-26  2.03736487165169235e-29 -2.86733255366212400e-31
B0655+64   17-Jun-14   83000.00   56825.35416666660             8.771167  0.162 -8.258
   3541005508.043706    5.110620788131  aro  300   12   327.000 0.7319   0.9721
 -4.32479516446283353e-09  8.44289172606269706e-02  2.11931140549885916e-06
 -2.68698614465025607e-07 -3.03338214045988949e-12  2.42558449508742657e-13
  1.87648203241781049e-18 -1.04351915174545349e-19 -4.63638112283982060e-25
 -6.84381168623756925e-27 -3.20729820958621614e-31  4.34163643550511263e-31
B0655+64   17-Jun-14  133000.00   56825.56249999990             8.771167  0.160 -8.745
   3541097518.026131    5.110620788131  aro  300   12   327.000 0.9344   0.9721
 -9.52517475484582210e-10  2.21531489636019943e-02 -1.80800918723010676e-04
 -8.13191678073298913e-08  2.71572426816802149e-10  7.25078028693284187e-14
 -1.63625820052877516e-16 -3.02466295035680259e-20  5.54842462705632048e-23
  1.86757366205882734e-26 -4.48879893131830298e-29 -1.79299910761078884e-31
B0655+64   17-Jun-14  183000.00   56825.77083333320             8.771167  0.161 -8.580
   3541189499.632235    5.110620788131  aro  300   12   327.000 0.1369   0.9721
 -6.18487381860537144e-10 -7.84600463830604083e-02 -1.08057360051361636e-04
  2.20373115444987281e-07  1.61764009351602063e-10 -1.97972029162428172e-13
 -9.59214732947309743e-17  8.46173627046883081e-20  3.00640112458371577e-23
 -2.81167092228805567e-26 -1.38830615928468732e-29  8.15765931782876513e-32
B0655+64   17-Jun-14  233000.00   56825.97916666660             8.771168  0.162 -8.298
   3541281464.272603    5.110620788131  aro  300   12   327.000 0.3395   0.9721
  2.27505967439600026e-09 -7.52703621799542116e-02  1.17257421003573399e-04
  2.11082776907375488e-07 -1.75122987486189710e-10 -1.89678006481179175e-13
  1.03894576341306829e-16  7.97870599872539204e-20 -3.28396502276153827e-23
  1.95350394681498776e-26  1.80656041405399787e-29 -5.05538011454095205e-31
B0655+64   18-Jun-14   43000.00   56826.18749999990             8.771168  0.159 -8.771
   3541373447.329591    5.110620788131  aro  300   12   327.000 0.5420   0.9721
 -5.88445737883386277e-10  2.73416097234816871e-02  1.77408423515522558e-04
 -9.61509315053579217e-08 -2.66143774456014428e-10  8.58507992164475002e-14
  1.60391570702113858e-16 -3.61871929253592420e-20 -5.28638224298631290e-23
  2.32736337441183299e-26  2.15079257098390679e-29 -1.77732031930158682e-31
B0655+64   18-Jun-14   83000.00   56826.35416666660             8.771168  0.150 -8.253
   3541447054.934294    5.110620788131  aro  300   12   327.000 0.7040   0.9721
 -4.35754021321094198e-09  8.32904957048070799e-02  3.51905872402984217e-05
 -2.64154989823048983e-07 -5.27848075094973232e-11  2.38404523318610821e-13
  3.21011504315302078e-17 -1.02132055069489361e-19 -9.73812599886472138e-24
 -2.18932941835337612e-26 -1.53271608860846105e-29  6.64395898672519381e-31
B0655+64   18-Jun-14  133000.00   56826.56249999990             8.771168  0.148 -8.706
   3541539067.283002    5.110620788131  aro  300   12   327.000 0.9065   0.9721
 -1.43141714811518411e-09  3.69757987030451402e-02 -1.68062417889190772e-04
 -1.24711629086983126e-07  2.52594278376172382e-10  1.11758571957354735e-13
 -1.52529030465393730e-16 -4.75028605964465823e-20  5.21205169221149568e-23
  2.43597548013619963e-26 -3.94771754270973913e-29 -1.74851232279323648e-31
B0655+64   18-Jun-14  183000.00   56826.77083333320             8.771168  0.149 -8.601
