  50473692882.733315  601.411516081674  aro  300   12   150.000 0.1990   6.7490
 -5.13029373758442514e-04 -3.09843017984096658e+00 -5.73772518054007936e-03
  2.37674502407756485e-04  4.11036832877009340e-07 -1.02879451260316997e-08
 -1.16299611238382253e-11  2.10312163401538238e-13  1.63629648602670979e-16
 -2.37348420181147683e-18 -1.04147888060332659e-21  1.31478528307097322e-23
1810+17    28-Jul-13  133000.00   56501.56249999990            39.659352  0.399 -2.780
  50484517799.326369  601.411516081674  aro  300   12   150.000 0.6050   6.7490
  2.39984223631366581e-03 -2.91030661120543932e-01  1.82867540189720068e-02
 -1.65831968337004214e-04 -1.31394676708161327e-06  7.16708156515223832e-09
  3.74233604612455637e-11 -1.45476503920479085e-13 -5.34999547907862485e-16
  1.61302307314230062e-18  3.50231547636417407e-21 -8.65595938955867334e-24
1810+17    28-Jul-13  173000.00   56501.72916666660            39.659352  0.391 -3.323
  50493177823.241020  601.411516081674  aro  300   12   150.000 0.7296   6.7490
  3.91046213903837713e-04  2.78690536396781319e-01  1.02040538153248968e-03
 -2.43945059916488596e-04 -7.10157757175201900e-08  1.05558195074096348e-08
  2.10539133545371364e-12 -2.15436359826842419e-13 -3.29920393118050281e-17
  2.42154582850718324e-18  2.48659293301938439e-22 -1.33191727960765104e-23
1810+17    28-Jul-13  223000.00   56501.93749999990            39.659352  0.390 -2.877
  50504002845.755396  601.411516081674  aro  300   12   150.000 0.1356   6.7490
 -1.83781826280066465e-03 -2.77143136836456438e+00 -1.46797944590563584e-02
  1.97274854871707490e-04  1.05471118208201963e-06 -8.55572572397168015e-09
 -3.00122431647059069e-11  1.75395121858596617e-13  4.28070947184677652e-16
 -1.99297270133246051e-18 -2.79124658025591257e-21  1.11715450687549144e-23
1810+17    29-Jul-13   33000.00   56502.14583333320            39.659352  0.403 -2.699
  50514827737.246185  601.411516081674  aro  300   12   150.000 0.5417   6.7490
  2.88953525490372176e-03 -8.73471339652702516e-01  2.32505712423417658e-02
 -8.37222440610915634e-05 -1.68204891127445204e-06  3.61587561824314909e-09
  4.78554934293647951e-11 -7.32483216780998450e-14 -6.82110787398885595e-16
  8.08089081573771534e-19  4.44247616287952463e-21 -4.29609729361793834e-24
1810+17    29-Jul-13   83000.00   56502.35416666660            39.659352  0.414 -2.631
  50525652811.098353  601.411516081674  aro  300   12   150.000 0.9477   6.7490
 -3.42751940660407373e-03 -1.09090744585044730e+00 -2.41738150962057113e-02
 -5.79799483727219084e-05  1.74205515283180241e-06  2.51998060347349435e-09
 -4.97005295078812014e-11 -5.17748938801231246e-14  7.13225929458972072e-16
  5.91425193953883803e-19 -4.69969783869557274e-21 -3.34533118488240613e-24
1810+17    29-Jul-13  133000.00   56502.56249999990            39.659352  0.409 -2.812
  50536477677.202544  601.411516081674  aro  300   12   150.000 0.3538   6.7490
  2.22251979644072853e-03 -2.72435923479116937e+00  1.68240349147318058e-02
  1.80172658324826248e-04 -1.20850852966690893e-06 -7.78413414787855900e-09
  3.44248308480850100e-11  1.58070130390502825e-13 -4.92298652982662749e-16
 -1.75462340405874053e-18  3.22466322885129887e-21  9.43524500021022825e-24
1810+17    29-Jul-13  173000.00   56502.72916666660            39.659352  0.401 -2.680
  50545137633.688191  601.411516081674  aro  300   12   150.000 0.4783   6.7490
  3.01425389238513253e-03 -1.52572458980224313e+00  2.48773691570592856e-02
  1.13471072678015273e-05 -1.78894377672593933e-06 -4.93805575637685848e-10
  5.08710869254310267e-11  1.00477535540578557e-14 -7.24444051634123151e-16
 -1.12051009426101129e-19  4.71084733812394777e-21  6.07633308007173949e-25
1810+17    29-Jul-13  223000.00   56502.93749999990            39.659353  0.400 -2.724
  50555962712.245986  601.411516081674  aro  300   12   150.000 0.8844   6.7490
 -2.72719094025243927e-03 -4.38482930136138926e-01 -2.00249353902977809e-02
 -1.45486621495005398e-04  1.44066813620779164e-06  6.30493518967667187e-09
 -4.10659582580182606e-11 -1.29453589351509955e-13  5.88131836978685825e-16
